stid,ok,name,start_date,end_date,lat,lon,heigh,height2,type,disappear_time,remark,gjjhzh_194_remark,ybzh_2170_remark,,,,红色112
51238,新疆,博乐,198101,201012,44.9,82.06666667,532.2,533.2,,,,,一般站,,,,
51241,新疆,托里,195610,200012,45.93333333,83.6,1077.8,1077.1,基本站,,,,一般站,,,,
51243,新疆,克拉玛依,195612,201207,45.61666667,84.85,449.5,450.7,基本站,,,国际交换站,一般站,,,,
51330,新疆,温泉,195712,200012,44.96666667,81.01666667,1354.6,1357.8,基本站,,缺195808,,,,,,
51334,新疆,精河,195301,201207,44.56666667,82.81666667,329.2,330.2,基本站,,,国际交换站,一般站,,,,
51346,新疆,乌苏,195303,200012,44.43333333,84.66666667,478.7,478.7,基准站,,1993年改基准站,,,,,,
51356,新疆,石河子,195209,200012,44.31666667,86.05,442.9,442.9,基本站,,,,,,,,
51357,新疆,沙湾,198101,201012,44.03333333,85.61666667,522.2,524.3,,,,,一般站,,,,
51359,新疆,玛纳斯,198101,201012,44.31666667,86.2,471.4,473.6,,,,,一般站,,,,
51365,新疆,蔡家湖,195810,200012,44.2,87.53333333,440.5,440.5,基本站,,,,,,,,
51367,新疆,呼图壁,198101,201012,44.01666667,86.85,575.1,576.2,,,,,一般站,,,,
51368,新疆,昌吉,198101,201012,44.11666667,87.31666667,515.7,516.7,,,,,一般站,,,,
51369,新疆,米泉,198101,201012,43.96666667,87.65,600.3,601.2,,,,,一般站,,,,
51377,新疆,阜康,198101,201012,44.01666667,87.91666667,547,547.9,,,,,一般站,,,,
51378,新疆,吉木萨尔,198101,201012,44.01666667,89.01666667,734.9,735.9,,,,,一般站,,,,
51379,新疆,奇台,195104,201207,44.01666667,89.56666667,793.5,793.5,基准站,,1987年改基准站,国际交换站,,,,,
51431,新疆,伊宁,195108,201207,43.95,81.33333333,662.5,662.5,基准站,,1992年改基准站,国际交换站,,,,,
51437,新疆,昭苏,195403,200012,43.15,81.13333333,1851,1851,基本站,,缺195508,,,,,,
51463,新疆,乌鲁木齐,195101,201207,43.78333333,87.61666667,917.9,935,基本站,,,国际交换站,,,,,
51467,新疆,巴仑台,195711,200012,42.73333333,86.3,1739,1739,基本站,,,,,,,,
51468,新疆,天山区,198101,201012,43.1,86.08333333,3539,3543.8,,,,,一般站,,,,
51469,新疆,乌市牧试站,198101,201012,43.45,87.18333333,1930,1928.5,,,,,一般站,,,,
51470,新疆,天池,198101,201012,43.88333333,88.11666667,1942.5,1943.3,,,,,一般站,,,,
51477,新疆,达坂城,195604,200012,43.35,88.31666667,1103.5,1104.4,基本站,,,,一般站,,,,
51482,新疆,木垒,198101,201012,43.08333333,90.28333333,1271.5,1272.5,,,,,一般站,,,,
51526,新疆,库米什,195811,200012,42.23333333,88.21666667,922.4,924,基本站,,,,一般站,,,,
51542,新疆,巴音布鲁克,195711,200012,43.03333333,84.15,2458,2459.4,基本站,,,,一般站,,,,
51567,新疆,焉耆,195105,200012,42.08333333,86.56666667,1055.3,1056.5,基准站,,1992年改基准站,,一般站,,,,
51571,新疆,托克逊,198101,201012,42.8,88.63333333,1,2,,,,,一般站,,,,
51572,新疆,吐鲁番东坎,198101,201012,42.08333333,89.25,-48.7,-47.4,,,,,一般站,,,,
51573,新疆,吐鲁番,195107,201207,42.93333333,89.2,34.5,35.2,基本站,,,国际交换站,一般站,,,,
51627,新疆,乌什,198101,201012,41.21666667,79.23333333,1395.8,1397.7,,,,,一般站,,,,
51628,新疆,阿克苏,195306,200012,41.01666667,80.23333333,1103.8,1105,基准站,,1991年改基准站,,一般站,,,,
51633,新疆,拜城,195810,200012,41.78333333,81.9,1229.2,1229.2,基本站,,,,,,,,
51636,新疆,新和,198101,201012,41.55,82.65,1009.8,1010.8,,,,,一般站,,,,
51639,新疆,沙雅,198101,201012,41.23333333,82.78333333,980.4,982.5,,,,,一般站,,,,
51642,新疆,轮台,195810,200012,41.78333333,84.25,976.1,976.1,基本站,,,,,,,,
51644,新疆,库车,195101,201207,41.71666667,83.06666667,1081.9,1081.9,基本站,,,国际交换站,,,,,
51656,新疆,库尔勒,195807,200012,41.75,86.13333333,931.5,932.5,基本站,,,,一般站,,,,
51701,新疆,吐尔尕特,195810,200012,40.51666667,75.4,3504.4,3504.4,基本站,,,,,,,,
51704,新疆,阿图什,198101,201012,39.71666667,76.01666667,1298.7,1299.5,,,,,一般站,,,,
51705,新疆,乌恰,195511,200012,39.71666667,75.25,2175.7,2176.7,基本站,,,,一般站,,,,
51707,新疆,伽师,198101,201012,39.05,76.73333333,1208.6,1209.6,,,,,一般站,,,,
51709,新疆,喀什,195101,201207,39.48333333,75.75,1385.6,1386.7,基准站,缺196710,1991年改基准站,国际交换站,一般站,,,,
51711,新疆,阿合奇,195701,200012,40.93333333,78.45,1984.9,1984.9,基本站,,,,,,,,
51716,新疆,巴楚,195301,201207,39.8,78.56666667,1116.5,1116.5,基本站,,缺196904-196909,国际交换站,,,,,
51717,新疆,岳普湖,198101,201012,39.25,76.78333333,1206.3,1207.8,,,,,一般站,,,,
51720,新疆,柯坪,195909,200012,40.05,79.05,1161.8,1162.5,基本站,,,,一般站,,,,
51722,新疆,阿瓦提,198101,201012,40.65,80.4,1044.3,1045.1,,,,,一般站,,,,
51730,新疆,阿拉尔,195812,200012,40.55,81.26666667,1012.2,1013.1,基本站,,,,一般站,,,,
51747,新疆,塔中,199607,201207,39,83.06666667,1099.3,1100,基本站,,1999年改基本站,国际交换站,一般站,,,,
51765,新疆,铁干里克,195701,201207,40.63333333,87.7,846,847.7,基本站,,,国际交换站,一般站,,,,
51777,新疆,若羌,195303,201207,39.03333333,88.16666667,888.3,887.7,基准站,,1993年改基准站,国际交换站,,,,,
51802,新疆,英吉沙,198101,201012,38.93333333,76.01666667,1297.5,1299.1,,,,,一般站,,,,
51804,新疆,塔什库尔干,195701,200012,37.78333333,75.23333333,3090.9,3090.1,基本站,,,,,,,,
51810,新疆,麦盖提,198101,201012,38.91666667,77.63333333,1178.2,1179.2,,,,,一般站,,,,
51811,新疆,莎车,195307,201207,38.43333333,77.26666667,1231.2,1232.2,基本站,,,国际交换站,一般站,,,,
51814,新疆,叶城,198101,201012,37.91666667,77.4,1360.4,1360.4,,,,,一般站,,,,
51815,新疆,泽普,198101,201012,38.2,77.26666667,1274.7,1275.7,,,,,一般站,,,,
51818,新疆,皮山,195901,200012,37.61666667,78.28333333,1375.4,1376.4,基本站,,,,一般站,,,,
51826,新疆,策勒,198101,201012,37.01666667,80.8,1336.5,1337,,,,,一般站,,,,
51827,新疆,墨玉,198101,201012,37.01666667,79.63333333,1348.9,1350.1,,,,,一般站,,,,
51828,新疆,和田,195302,201207,37.13333333,79.93333333,1375,1376,基准站,,1992年改基准站,国际交换站,一般站,,,,
51829,新疆,洛浦,198101,201012,37.08333333,80.01666667,1347.9,1349,,,,,一般站,,,,
51839,新疆,民丰,195612,200012,37.06666667,82.71666667,1409.5,1410.5,基准站,,1993年改基准站,,一般站,,,,
51855,新疆,且末,195305,200012,38.15,85.55,1247.2,1248.4,基本站,,,,一般站,,,,
51886,青海,茫崖,195809,200012,38.25,90.85,2944.8,2944.8,基本站,,,,,,,,
51931,新疆,于田,195511,200012,36.85,81.65,1422,1423.3,基本站,,,,一般站,,,,
52101,新疆,巴里塘,195612,200012,43.6,93.05,1679.4,1680.4,基本站,,,,一般站,,,,
52112,新疆,淖毛湖,198101,201012,43.75,94.98333333,479,480,,,,,一般站,,,,
52118,新疆,伊吾,195811,200012,43.26666667,94.7,1728.6,1729.6,基本站,,,,一般站,,,,
52203,新疆,哈密,195101,201207,42.81666667,93.51666667,737.2,738.3,基准站,,1992年改基准站,国际交换站,一般站,,,,
52267,内蒙古,额济纳旗,195911,200012,41.95,101.0666667,940.5,940.5,基准站,,1992年改基准站,,,,,,
52378,内蒙古,拐子湖,195906,200012,41.36666667,102.3666667,960,960,基本站,,,,,,,,
52418,甘肃,敦煌,195101,201207,40.15,94.68333333,1139,1139,基准站,,1987年改基准站,国际交换站,,,,,
52436,甘肃,玉门镇,195207,201207,40.26666667,97.03333333,1526,1526,基本站,,,国际交换站,,,,,
52446,甘肃,鼎新,195501,200012,40.3,99.51666667,1177.4,1177.4,基本站,,,,,,,,
52447,甘肃,金塔,198901,200012,40,98.9,1270.2,1270.5,基本站,,,,,,,,
52515,甘肃,肃北,198101,201012,39.51666667,94.86666667,2137.2,2138.6,,,,,一般站,,,,
52533,甘肃,酒泉,195101,201207,39.76666667,98.48333333,1477.2,1478.4,基准站,,1994年改基准站,国际交换站,一般站,,,,
52546,甘肃,高台,195208,200012,39.36666667,99.08333333,1332.2,1333.4,基本站,,,,一般站,,,,
52557,甘肃,临泽,198101,201012,39.15,100.0166667,1453.7,1454.9,,,,,一般站,,,,
52576,内蒙古,阿拉善右旗,195906,200012,39.21666667,101.6833333,1510.1,1510.1,基本站,,,,,,,,
52602,青海,冷湖,195609,201207,38.75,93.03333333,2770,2770.8,基本站,,,国际交换站,一般站,,,,
52633,青海,托勒,195611,200012,38.8,98.41666667,3367,3367,基本站,,,,,,,,
52643,甘肃,肃南,198101,201012,38.08333333,99.61666667,2311.8,2313,,,,,一般站,,,,
52645,青海,野牛沟,195902,200012,38.41666667,99.58333333,8320,3320,基本站,,,,,,,,
52652,甘肃,张掖,195101,200012,39.08333333,100.2833333,1461.1,1462.3,基本站,,,,一般站,,,,
52656,甘肃,民乐,198101,201012,38.43333333,100.8166667,2281.4,2282.6,,,,,一般站,,,,
52657,青海,祁连,195605,200012,38.18333333,100.25,2787.4,2787.4,基本站,,,,,,,,
52661,甘肃,山丹,195210,200012,38.8,101.0833333,1764.6,1764.6,基本站,,,,,,,,
52674,甘肃,永昌,195804,200012,38.23333333,101.9666667,1976.9,1978.1,基本站,,,,一般站,,,,
52679,甘肃,武威,195101,200012,37.91666667,102.0666667,1531.5,1532.7,基本站,,,,一般站,,,,
52681,甘肃,民勤,195301,201207,38.63333333,103.0833333,1367.5,1368.7,基准站,,1992年改基准站,国际交换站,一般站,,,,
52713,青海,大柴旦,195605,201207,37.85,95.36,3173.2,3173.2,基本站,,,国际交换站,,,,,
52737,青海,德令哈,195508,200012,37.36666667,97.36666667,2981.5,2981.5,基本站,,,,,,,,
52754,青海,刚察,195707,201207,37.33333333,100.1333333,8301.5,3302.4,基准站,,1987年改基准站,国际交换站,,,,,
52765,青海,门源,195610,200012,37.38333333,101.6166667,7850,2851,基本站,,,,,,,,
52784,甘肃,古浪,198101,201012,37.46666667,102.9,2072.4,2073.6,,,,,一般站,,,,
52787,甘肃,乌鞘岭,195101,201207,37.2,102.8666667,3045.1,3046.3,基本站,,,国际交换站,一般站,,,,
52797,甘肃,景泰,195611,200012,37.18333333,104.05,1630.9,1632.1,基本站,,,,一般站,,,,
52818,青海,格尔木,195504,201207,36.41666667,94.91666667,2807.6,2808.4,基准站,缺199312,1992年改基准站,国际交换站,一般站,,,,
52836,青海,都兰,195401,201207,36.3,98.1,3189,3189.8,基本站,,,国际交换站,一般站,,,,
52854,青海,青海湖,198101,199712,36.58333333,100.4833333,3200.8,3201.6,,,,,一般站,,,,
52856,青海,恰卜恰,195301,200012,36.26666667,100.6166667,2835,2835.8,基本站,,,,一般站,,,,
52863,青海,互助,198101,201012,36.81666667,101.95,2480,2480.8,,,,,一般站,,,,
52866,青海,西宁,195401,201207,36.73333333,101.75,2295.2,2296,基本站,,,国际交换站,一般站,,,,
52868,青海,贵德,195611,200012,36.01666667,101.3666667,2273,2273.8,基本站,,,,一般站,,,,
52869,青海,湟中,198101,201012,36.05,101.5833333,2667.5,2668.3,,,,,一般站,,,,
52875,青海,平安,198901,201012,36.05,102.1,2125,2125.8,,,,,一般站,,,,
52876,青海,民和,195610,200012,36.03333333,102.0833333,1813.9,1814.7,基准站,缺199202,1988年改基准站,,一般站,,,,
52877,青海,化隆,198101,201012,36.1,102.25,2834.7,2835.5,,,,,一般站,,,,
52881,甘肃,天祝,201001,201012,36.98333333,103.1833333,2484.8,2486,,,,,一般站,,,,
52884,甘肃,皋兰,195703,201207,36.35,103.95,1668.5,1669.7,,,,国际交换站,一般站,,,,
52885,甘肃,永登,198101,201012,36.75,103.25,2118.8,2120,,,,,一般站,,,,
52889,甘肃,兰州,195101,200012,36.05,103.8833333,1517.2,1517.2,基本站,,,,,,,,
52895,甘肃,靖远,195101,200012,36.56666667,104.6833333,1398.2,1399.4,基本站,,,,一般站,,,,
52896,甘肃,白银,198101,201012,36.55,104.15,1738.7,1739.9,,,,,一般站,,,,
52941,青海,沙珠玉,198101,199612,36.26666667,100.2666667,2872,2872.8,,,,,一般站,,,,
52943,青海,兴海,196001,200012,35.58333333,99.98333333,3323.2,3324,基准站,,1992年改基准站,,一般站,,,,
52955,青海,贵南,195701,201207,35.58333333,100.7333333,3120,3120.8,基本站,,,国际交换站,一般站,,,,
52957,青海,同德,195402,200012,35.25,100.6,3148.2,3149,基本站,,缺195810,,一般站,,,,
52963,青海,尖扎,198101,201012,35.93333333,102.0166667,2085.7,2086.5,,,,,一般站,,,,
